state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,None,Sonny Callahan,0.0,151188.0,0.0,91.25907683392788,Republican
AL,Alabama,02,AL02,Charles Woods,Terry Everett,64958.0,151830.0,29.176772848955245,68.19651808332884,Republican
AL,Alabama,03,AL03,None,Bob Riley,0.0,147317.0,0.0,86.90294303293436,Republican
AL,Alabama,04,AL04,Marsha Guthrie Folsom,Robert B. Aderholt,86400.0,140009.0,37.385442178048166,60.58215710539753,Republican
AL,Alabama,05,AL05,Robert E. Cramer,None,186059.0,0.0,88.80504405433527,0.0,Democrat
AL,Alabama,06,AL06,None,Spencer Bachus,0.0,212751.0,0.0,87.94379890623644,Republican
AL,Alabama,07,AL07,Earl F. Hilliard,Edgar Ray Martin,148243.0,46134.0,74.63160703407792,23.225747987494525,Democrat
AK,Alaska,01,AK01,Clifford Mark Greene,Don Young,45372.0,190862.0,16.5354072443539,69.55789688512462,Republican
AZ,Arizona,01,AZ01,David A. Mendoza,Jeff Flake,97455.0,123289.0,42.37708232777177,53.61067265002979,Republican
AZ,Arizona,02,AZ02,Ed Pastor,Bill Barenholtz,84034.0,32990.0,68.5404347294156,26.907548631785,Democrat
AZ,Arizona,03,AZ03,Gene P. Scharer,Robert Lee Stump,94676.0,198367.0,31.352783389078382,65.69096267841175,Republican
AZ,Arizona,04,AZ04,Benjamin H. Jankowski,John B. Shadegg,71803.0,140396.0,32.71251998888368,63.96260541146348,Republican
AZ,Arizona,05,AZ05,George R. Cunningham,James T. Kolbe,101564.0,172986.0,35.31322037905629,60.146240208060256,Republican
AZ,Arizona,06,AZ06,Larry Nelson,J.D. Hayworth,108317.0,186687.0,35.630123287851475,61.40938935014013,Republican
AR,Arkansas,01,AR01,Robert Marion Berry,Susan J. Myshka,120266.0,79437.0,60.14623217107764,39.72723999279842,Democrat
AR,Arkansas,02,AR02,Victor F. Snyder,Robert Grant Thomas,126957.0,93692.0,57.53799020163246,42.462009798367546,Democrat
AR,Arkansas,03,AR03,None,Asa Hutchinson,0.0,0.0,0.0,0.0,Republican
AR,Arkansas,04,AR04,Michael Avery Ross,Jay Woodson Dickey,108143.0,104017.0,50.97237933634992,49.02762066365008,Democrat
CA,California,01,CA01,Mike Thompson,Russel James Chase,155638.0,66987.0,65.02935216328576,27.988802306390625,Democrat
CA,California,10,CA10,Ellen O. Tauscher,Claude B. Hutchison,160429.0,134863.0,52.630905553787656,44.24363310686014,Democrat
CA,California,11,CA11,Tom Y. Santos,Richard W. Pombo,79539.0,120635.0,38.12863422608062,57.82883604097657,Republican
CA,California,12,CA12,Tom Lantos,Mike Garza,158404.0,44162.0,74.5234197105704,20.776642390711157,Democrat
CA,California,13,CA13,Fortney H. Stark,James R. Goetz,129012.0,44499.0,70.44216089895492,24.297008943684272,Democrat
CA,California,14,CA14,Anna G. Eshoo,Bill Quraishi,161720.0,59338.0,70.2330388861384,25.769775299441505,Democrat
CA,California,15,CA15,Michael M. Honda,James F. Cunneen,128545.0,99866.0,54.27916325341396,42.16922414302725,Democrat
CA,California,16,CA16,Zoe Lofgren,Horace Eugene Thayn,115118.0,37213.0,72.0631502510235,23.29510598074443,Democrat
CA,California,17,CA17,Sam Farr,Clint C. Engler,143219.0,51557.0,68.60461774286262,24.696780992527305,Democrat
CA,California,18,CA18,Gary A. Condit,Steve R. Wilson,121003.0,56465.0,67.10161483518921,31.31238631826449,Democrat
CA,California,19,CA19,Daniel J. Rosenberg,George P. Radanovich,70578.0,144517.0,31.704063068526377,64.91790759831997,Republican
CA,California,02,CA02,Stan Morgan,Walter Herger,72075.0,168172.0,28.170142580201365,65.72916015258583,Republican
CA,California,20,CA20,Calvin M. Dooley,Rich Rodriguez,66235.0,57563.0,52.34561461741508,45.49212069483301,Democrat
CA,California,21,CA21,Pedro Martinez,William M. Thomas,49318.0,142539.0,24.77046710195881,71.59166248116524,Republican
CA,California,22,CA22,Lois Capps,Mike Stoker,135538.0,113094.0,53.1375700788019,44.338416905163285,Democrat
CA,California,23,CA23,Michael Case,Elton W. Gallegly,89918.0,119479.0,40.68061927124334,54.0545798383959,Republican
CA,California,24,CA24,Brad Sherman,Jerry Doyle,155398.0,70169.0,66.0021066580588,29.802840590543823,Democrat
CA,California,25,CA25,Sidney Gold,"Howard P. ""Buck"" McKeon",73921.0,138628.0,33.181463160635246,62.22697034716175,Republican
CA,California,26,CA26,Howard L. Berman,None,96500.0,0.0,84.0731479948772,0.0,Democrat
CA,California,27,CA27,Adam B. Schiff,James E. Rogan,113708.0,94518.0,52.697730032348666,43.80416546942634,Democrat
CA,California,28,CA28,Janice M. Nelson,David T. Dreier,81804.0,116557.0,39.86569135327171,56.801933732620526,Republican
CA,California,29,CA29,Henry A. Waxman,Jim Scileppi,180295.0,45784.0,75.69027837834435,19.220742146338598,Democrat
CA,California,03,CA03,Bob Kent,Doug Ose,93067.0,129254.0,40.4319190901113,56.15295722515226,Republican
CA,California,30,CA30,Xavier Becerra,Tony D. Goss,83223.0,11788.0,83.28963170536429,11.797437950360289,Democrat
