state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,Judy McCain Belk,Josiah Robins Bonner,67507.0,108102.0,37.77946912758063,60.49796571658822,Republican
AL,Alabama,02,AL02,Charles Woods,Terry Everett,55495.0,129233.0,29.52411353177453,68.75375734844253,Republican
AL,Alabama,03,AL03,Joe R. Turnham,Mike Rogers,87351.0,91169.0,48.2008354347958,50.30763203346154,Republican
AL,Alabama,04,AL04,None,Robert B. Aderholt,0.0,139705.0,0.0,86.71889063382598,Republican
AL,Alabama,05,AL05,Robert E. Cramer,Stephen P. Engel,143029.0,48226.0,73.28394074939412,24.70961362087605,Democrat
AL,Alabama,06,AL06,None,Spencer Bachus,0.0,178171.0,0.0,89.82838070845895,Republican
AL,Alabama,07,AL07,Artur Davis,None,153735.0,0.0,92.43937489853224,0.0,Democrat
AK,Alaska,01,AK01,Clifford Mark Greene,Don Young,39357.0,169685.0,17.28268745197058,74.51311889340214,Republican
AZ,Arizona,01,AZ01,George Cordova,Richard Renzi,79730.0,85967.0,45.64163332131183,49.21201921150401,Republican
AZ,Arizona,02,AZ02,Randy R. Camacho,Trent Franks,61217.0,100359.0,36.54702630416353,59.91510549127772,Republican
AZ,Arizona,03,AZ03,Charles Hill,John B. Shadegg,47173.0,104847.0,30.28744598750569,67.31706377487143,Republican
AZ,Arizona,04,AZ04,Ed Pastor,Jonathan Barnert,44517.0,18381.0,67.38363732687505,27.82259895557406,Democrat
AZ,Arizona,05,AZ05,Craig E. Columbus,J.D. Hayworth,61559.0,103870.0,36.251266106046685,61.16764421831201,Republican
AZ,Arizona,06,AZ06,Deborah Thomas,Jeff Flake,49355.0,103094.0,31.569622034451218,65.9434426911096,Republican
AZ,Arizona,07,AZ07,Raúl Grijalva,Ross J. Hieb,61256.0,38474.0,59.00325569747057,37.05908416652218,Democrat
AZ,Arizona,08,AZ08,Mary Judge Ryan,James T. Kolbe,67328.0,126930.0,33.59211287844014,63.32947492366336,Republican
AR,Arkansas,01,AR01,Robert Marion Berry,Tommy F. Robinson,129701.0,64357.0,66.83620360923022,33.16379639076977,Democrat
AR,Arkansas,02,AR02,Victor F. Snyder,None,142752.0,0.0,92.92177105437882,0.0,Democrat
AR,Arkansas,03,AR03,None,John Boozman,0.0,141478.0,0.0,98.89762678690012,Republican
AR,Arkansas,04,AR04,Michael Avery Ross,Jay Woodson Dickey,119633.0,77904.0,60.56232503277867,39.43767496722133,Democrat
CA,California,01,CA01,Mike Thompson,Lawrence R. Wiesner,118669.0,60013.0,64.07059865238425,32.40162836903939,Democrat
CA,California,10,CA10,Ellen O. Tauscher,None,126390.0,0.0,75.59346160517234,0.0,Democrat
CA,California,11,CA11,Elaine Dugger Shaw,Richard W. Pombo,69035.0,104921.0,39.68532272528685,60.31467727471315,Republican
CA,California,12,CA12,Tom Lantos,Michael J. Moloney,105597.0,38381.0,68.13412997470707,24.764491818510297,Democrat
CA,California,13,CA13,Fortney H. Stark,Syed R. Mahmood,86495.0,26852.0,71.0588795872596,22.059922939789523,Democrat
