state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,None,Josiah Robins Bonner,0.0,210660.0,0.0,98.2707226392122,Republican
AL,Alabama,02,AL02,Bobby N. Bright,Jay Love,144368.0,142578.0,50.23347738644509,49.61063905300737,Democrat
AL,Alabama,03,AL03,Joshua Segall,Mike Rogers,121080.0,142708.0,45.842798727850976,54.03150083295471,Republican
AL,Alabama,04,AL04,Nicholas B. Sparks,Robert B. Aderholt,66077.0,196741.0,25.10839124966276,74.75899333883048,Republican
AL,Alabama,05,AL05,Rolf Parker Griffith,Wayne Parker,158324.0,147314.0,51.52400726368612,47.94097929589108,Democrat
AL,Alabama,06,AL06,None,Spencer Bachus,0.0,280902.0,0.0,97.79450418991982,Republican
AL,Alabama,07,AL07,Artur Davis,None,228518.0,0.0,98.62624675767476,0.0,Democrat
AK,Alaska,01,AK01,Ethan Berkowitz,Don Young,142560.0,158939.0,44.97473010745225,50.14196568847049,Republican
AZ,Arizona,01,AZ01,Ann Kirkpatrick,Sydney Hay,155791.0,109924.0,55.881730496759175,39.42938515784452,Democrat
AZ,Arizona,02,AZ02,John A. Thrasher,Trent Franks,125611.0,200914.0,37.16048907914551,59.43796723891569,Republican
AZ,Arizona,03,AZ03,Bob Lord,John B. Shadegg,115759.0,148800.0,42.06955200773365,54.07743103128714,Republican
AZ,Arizona,04,AZ04,Ed Pastor,Don J. Karg,89721.0,26435.0,72.10734004677441,21.245388862545912,Democrat
AZ,Arizona,05,AZ05,Harry E. Mitchell,David Schweikert,149033.0,122165.0,53.15677777183314,43.5735559003442,Democrat
AZ,Arizona,06,AZ06,Rebecca L. Schneider,Jeff Flake,115457.0,208582.0,34.54975821124198,62.416810303552616,Republican
AZ,Arizona,07,AZ07,Raúl Grijalva,Joseph Dudley Sweeney,124304.0,64425.0,63.26257449526437,32.788095007863035,Democrat
AZ,Arizona,08,AZ08,Gabrielle Giffords,Timothy S. Bee,179629.0,140553.0,54.72056198326967,42.81680100893787,Democrat
AR,Arkansas,01,AR01,Robert Marion Berry,None,0.0,0.0,0.0,0.0,Republican
AR,Arkansas,02,AR02,Victor F. Snyder,None,212303.0,0.0,76.54254667118536,0.0,Democrat
AR,Arkansas,03,AR03,None,John Boozman,0.0,215196.0,0.0,78.52550301774156,Republican
AR,Arkansas,04,AR04,Michael Avery Ross,None,203178.0,0.0,86.17233788982148,0.0,Democrat
CA,California,01,CA01,Mike Thompson,Zane Starkewolf,197812.0,67853.0,68.10019554380456,23.359566498664243,Democrat
CA,California,10,CA10,Ellen O. Tauscher,Nicholas Gerber,192226.0,91877.0,65.12493012382905,31.12733555807769,Democrat
CA,California,11,CA11,Jerry McNerney,Dean Andal,164500.0,133104.0,55.27256599107575,44.72340196763615,Democrat
CA,California,12,CA12,Jackie Speier,Greg Conlon,200442.0,49258.0,75.11326460635631,18.45885187725077,Democrat
CA,California,13,CA13,Fortney H. Stark,Raymond Chui,166829.0,51447.0,76.43029925415529,23.56970074584471,Democrat
CA,California,14,CA14,Anna G. Eshoo,Ronny Santana,190301.0,60610.0,69.76712640138433,22.22051135405439,Democrat
CA,California,15,CA15,Michael M. Honda,Joyce Stoer Cordi,170977.0,55489.0,71.66172790866302,23.25714932373244,Democrat
CA,California,16,CA16,Zoe Lofgren,Charel Winston,146481.0,49399.0,71.34034978351606,24.058696615642365,Democrat
CA,California,17,CA17,Sam Farr,Jeffrey Edward Taylor,168907.0,59037.0,73.87917384724398,25.822522372783496,Democrat
CA,California,18,CA18,Dennis A. Cardoza,None,130192.0,0.0,100.0,0.0,Democrat
CA,California,19,CA19,None,George P. Radanovich,0.0,179245.0,0.0,98.43163958462613,Republican
CA,California,02,CA02,Jeffrey Morris,Walter Herger,118878.0,163459.0,42.10500217824798,57.894997821752014,Republican
CA,California,20,CA20,Jim Costa,Jim Lopez,93023.0,32118.0,74.33455062689288,25.665449373107137,Democrat
CA,California,21,CA21,Larry Johnson,Devin Nunes,66317.0,143498.0,31.60736839596788,68.39263160403213,Republican
CA,California,22,CA22,None,Kevin McCarthy,0.0,224549.0,0.0,100.0,Republican
CA,California,23,CA23,Lois Capps,Matt T. Kokkonen,171403.0,80385.0,68.07433237485505,31.925667625144964,Democrat
CA,California,24,CA24,Marta Ann Jorgensen,Elton W. Gallegly,125560.0,174492.0,41.846080012797785,58.153919987202215,Republican
CA,California,25,CA25,Jacquese L. Conaway,"Howard P. ""Buck"" McKeon",105929.0,144660.0,42.27200715115188,57.72799284884811,Republican
CA,California,26,CA26,Russell H. Warner,David T. Dreier,108039.0,140615.0,40.44435293677236,52.63916445176506,Republican
CA,California,27,CA27,Brad Sherman,Navraj Singh,145812.0,52852.0,68.50940869687786,24.83238189207602,Democrat
CA,California,28,CA28,Howard L. Berman,None,137471.0,0.0,99.89100500650336,0.0,Democrat
CA,California,29,CA29,Adam B. Schiff,Charles Hahn,146198.0,56727.0,68.91451089825779,26.73985594690399,Democrat
CA,California,03,CA03,William E. Durston,Dan Lungren,137971.0,155424.0,43.933372817994815,49.49083892168663,Republican
CA,California,30,CA30,Henry A. Waxman,None,242792.0,0.0,100.0,0.0,Democrat
CA,California,31,CA31,Xavier Becerra,None,110955.0,0.0,100.0,0.0,Democrat
CA,California,32,CA32,Hilda L. Solis,None,130142.0,0.0,99.99385324625432,0.0,Democrat
CA,California,33,CA33,Diane E. Watson,David C. Crowley,186924.0,26536.0,87.56863112526936,12.431368874730628,Democrat
CA,California,34,CA34,Lucille Roybal-Allard,Christopher Balding,98503.0,29266.0,77.09460041168046,22.905399588319543,Democrat
CA,California,35,CA35,Maxine Waters,Ted Hayes,150778.0,24169.0,82.58233422244618,13.2375574408886,Democrat
CA,California,36,CA36,Jane Harman,Brian Gibson,171948.0,78543.0,68.64438243290178,31.35561756709822,Democrat
CA,California,37,CA37,Laura Richardson,None,131342.0,0.0,74.94465113094287,0.0,Democrat
CA,California,38,CA38,Grace F. Napolitano,None,130211.0,0.0,81.7271723029801,0.0,Democrat
CA,California,39,CA39,Linda T. Sánchez,Diane A. Lenning,125289.0,54533.0,69.67389974530369,30.326100254696307,Democrat
CA,California,04,CA04,Charles Duane Brown,Tom McClintock,183990.0,185790.0,49.75661203959111,50.24338796040889,Republican
CA,California,40,CA40,Christina Avalos,Edward R. Royce,86772.0,144923.0,37.450959235201445,62.54904076479855,Republican
CA,California,41,CA41,Tim Prince,Jerry Lewis,99214.0,159486.0,38.350985697719366,61.64901430228064,Republican
CA,California,42,CA42,Edwin Chau,Gary G. Miller,104909.0,158404.0,39.841937162236576,60.158062837763424,Republican
CA,California,43,CA43,Joe Baca,John Roberts,108259.0,48312.0,69.14371115979333,30.85628884020668,Democrat
CA,California,44,CA44,William E. Hedrick,Ken Calvert,123890.0,129937.0,48.80883436356259,51.19116563643742,Republican
CA,California,45,CA45,Julie Bornstein,Mary Whitaker Bono Mack,111026.0,155166.0,41.70899200577027,58.29100799422973,Republican
CA,California,46,CA46,Debbie Cook,Dana Rohrabacher,122891.0,149818.0,43.07778054312125,52.51667677380231,Republican
CA,California,47,CA47,Loretta Sanchez,Rosemarie Avila,85878.0,31432.0,69.48957793889177,25.43371310201968,Democrat
