state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,None,Bradley Byrne,0.0,208083.0,0.0,96.38246724071648,Republican
AL,Alabama,02,AL02,William Mathis,Martha Roby,112089.0,134886.0,40.526205420414776,48.76854771064125,Republican
AL,Alabama,03,AL03,Jesse T. Smith,Mike Rogers,94549.0,192164.0,32.93196890325457,66.93184351315203,Republican
AL,Alabama,04,AL04,None,Robert B. Aderholt,0.0,235925.0,0.0,98.53034529994488,Republican
AL,Alabama,05,AL05,Will Boyd,Mo Brooks,102234.0,205647.0,33.157761590005386,66.69791065301013,Republican
AL,Alabama,06,AL06,David J. Putman,Gary Palmer,83709.0,245313.0,25.41982229294334,74.49393573150807,Republican
AL,Alabama,07,AL07,Terri A. Sewell,None,229330.0,0.0,98.41306624096676,0.0,Democrat
AK,Alaska,01,AK01,Steve Lindbeck,Don Young,111019.0,155088.0,36.02197288755929,50.32089760478653,Republican
AZ,Arizona,01,AZ01,Tom O'Halleran,Paul Babeu,142219.0,121745.0,50.66403049410424,43.37038224502155,Democrat
AZ,Arizona,02,AZ02,Matthew G. Heinz,Martha McSally,135873.0,179806.0,43.04150735398934,56.95849264601066,Republican
AZ,Arizona,03,AZ03,Raúl Grijalva,None,148973.0,0.0,98.63475353394908,0.0,Democrat
AZ,Arizona,04,AZ04,Mikel Weisser,Paul Gosar,81296.0,203487.0,28.546647798499208,71.45335220150079,Republican
AZ,Arizona,05,AZ05,Talia Fuentes-Wolfe,Andy Biggs,114940.0,205184.0,35.90483687571066,64.09516312428933,Republican
AZ,Arizona,06,AZ06,W. John Williamson,David Schweikert,122866.0,201578.0,37.86970941056084,62.13029058943916,Republican
AZ,Arizona,07,AZ07,Ruben Gallego,Eve Nuñez,119465.0,39286.0,75.22463809181984,24.737581149920345,Democrat
AZ,Arizona,08,AZ08,None,Trent Franks,0.0,204942.0,0.0,68.54912349358298,Republican
AZ,Arizona,09,AZ09,Kyrsten Sinema,David Victor Giles,169055.0,108350.0,60.91918402058326,39.04406014983406,Democrat
AR,Arkansas,01,AR01,None,Rick Crawford,0.0,183866.0,0.0,76.2780702518596,Republican
AR,Arkansas,02,AR02,Dianne Curry,French Hill,111347.0,176472.0,36.81330670757512,58.34479475243335,Republican
