state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,None,Sonny Callahan,0.0,112872.0,0.0,99.39065196717269,Republican
AL,Alabama,02,AL02,Gerald Joseph Fondren,Terry Everett,58136.0,131428.0,30.651292514854827,69.29334788499966,Republican
AL,Alabama,03,AL03,Joe R. Turnham,Bob Riley,73357.0,101731.0,41.866371413732686,58.0600055930646,Republican
AL,Alabama,04,AL04,Don H. Bevill,Robert B. Aderholt,82065.0,106297.0,43.5413527451771,56.39816210021436,Republican
AL,Alabama,05,AL05,Robert E. Cramer,Gil Aust,134819.0,58536.0,69.67750271331852,30.25272623908212,Democrat
AL,Alabama,06,AL06,Donna Wesson Smalley,Spencer Bachus,60657.0,154761.0,28.136393576458147,71.78753328199943,Republican
AL,Alabama,07,AL07,Earl F. Hilliard,None,136431.0,0.0,98.0241555959506,0.0,Democrat
AK,Alaska,01,AK01,James Duncan,Don Young,77232.0,139676.0,34.58665472458576,62.550828481862965,Republican
AZ,Arizona,01,AZ01,David A. Mendoza,Matt Salmon,54108.0,98840.0,35.37672934592149,64.62327065407851,Republican
AZ,Arizona,02,AZ02,Ed Pastor,Edward Clyde Barron,57178.0,23628.0,67.77615779429371,28.00753884996977,Democrat
AZ,Arizona,03,AZ03,Stuart Starky,Robert Lee Stump,66979.0,137618.0,32.73287949057535,67.25441421541079,Republican
AZ,Arizona,04,AZ04,Eric R. Ehst,John B. Shadegg,49538.0,102722.0,31.19089294933951,64.67743763458463,Republican
AZ,Arizona,05,AZ05,Thomas John Volgy,James T. Kolbe,91030.0,103952.0,45.18223285502276,51.59599549319264,Republican
AZ,Arizona,06,AZ06,Stephen A. Owens,J.D. Hayworth,88001.0,106891.0,43.66493497471928,53.03790370998873,Republican
AR,Arkansas,01,AR01,Robert Marion Berry,None,0.0,0.0,0.0,0.0,Republican
AR,Arkansas,02,AR02,Victor F. Snyder,Phil Wyrick,100334.0,72737.0,57.97273951152994,42.02726048847005,Democrat
AR,Arkansas,03,AR03,None,Asa Hutchinson,0.0,154780.0,0.0,80.74200430888328,Republican
AR,Arkansas,04,AR04,Judy Seriale Smith,Jay Woodson Dickey,68194.0,92346.0,42.4778871309331,57.5221128690669,Republican
CA,California,01,CA01,Mike Thompson,Mark C. Luce,121713.0,64692.0,61.84446533370596,32.8711160793679,Democrat
CA,California,10,CA10,Ellen O. Tauscher,Charles J. Ball,127134.0,103299.0,53.46055027353886,43.43780092427116,Democrat
CA,California,11,CA11,Robert L. Figueroa,Richard W. Pombo,56345.0,95496.0,36.24661464531776,61.43236688560235,Republican
CA,California,12,CA12,Tom Lantos,Robert H. Evans,128135.0,36562.0,73.97582153661409,21.10823730457474,Democrat
CA,California,13,CA13,Fortney H. Stark,James R. Goetz,101671.0,38050.0,71.204661488791,26.64808420934679,Democrat
CA,California,14,CA14,Anna G. Eshoo,John C. Haugen,129663.0,53719.0,68.63744640304907,28.436292414377217,Democrat
CA,California,15,CA15,Dick Lane,Tom Campbell,70059.0,111876.0,37.91522800333373,60.54616891621297,Republican
CA,California,16,CA16,Zoe Lofgren,Horace Eugene Thayn,85503.0,27494.0,72.82181000562113,23.416287665866083,Democrat
CA,California,17,CA17,Sam Farr,Bill McCampbell,103719.0,52470.0,64.5460202875101,32.6529342211712,Democrat
