state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,Tom Holmes,Barry Moore,70929.0,258619.0,21.503149878431064,78.40408180588987,Republican
AL,Alabama,02,AL02,Shomari Figures,Caroleene Dobson,158041.0,131414.0,54.558227524734704,45.36617024655303,Democrat
AL,Alabama,03,AL03,None,Mike Rogers,0.0,243848.0,0.0,97.92777742080575,Republican
AL,Alabama,04,AL04,None,Robert B. Aderholt,0.0,274498.0,0.0,98.785771866183,Republican
AL,Alabama,05,AL05,None,Dale Strong,0.0,250322.0,0.0,95.39346823672878,Republican
AL,Alabama,06,AL06,Elizabeth Anderson,Gary Palmer,102504.0,243741.0,29.57201586729174,70.31835557158313,Republican
AL,Alabama,07,AL07,Terri A. Sewell,Robin Litaker,186723.0,106312.0,63.68017188459177,36.25673555691972,Democrat
AK,Alaska,01,AK01,Mary S. Peltola,Nick Begich,156985.0,164861.0,48.776433449537976,51.22356655046202,Republican
AZ,Arizona,01,AZ01,Amish Shah,David Schweikert,208966.0,225538.0,48.09299799311399,51.90700200688602,Republican
AZ,Arizona,02,AZ02,Jonathan Nez,Eli Crane,184963.0,221413.0,45.50907780164407,54.47738976603655,Republican
AZ,Arizona,03,AZ03,Yassamin Ansari,Jeff Zink,143336.0,53705.0,70.9355900329102,26.578081310469404,Democrat
AZ,Arizona,04,AZ04,Greg Stanton,Kelly Cooper,176428.0,152052.0,52.736702087910444,45.45038784020087,Democrat
AZ,Arizona,05,AZ05,Katrina Schaffner,Andy Biggs,167680.0,255628.0,39.61181928997326,60.38818071002674,Republican
AZ,Arizona,06,AZ06,Kirsten Engel,Juan Ciscomani,204774.0,215596.0,47.48712953944622,49.99675339733778,Republican
AZ,Arizona,07,AZ07,Raúl Grijalva,Daniel Francis Butierez Sr.,171954.0,99057.0,63.449085092487024,36.550914907512976,Democrat
AZ,Arizona,08,AZ08,Gregory Whitten,"Abraham ""Abe"" Hamadeh",160344.0,208269.0,43.49927973240227,56.50072026759773,Republican
AZ,Arizona,09,AZ09,Quacy Smith,Paul Gosar,132640.0,249583.0,34.70225496634164,65.29774503365836,Republican
AR,Arkansas,01,AR01,Rodney Govens,Rick Crawford,64113.0,194711.0,23.996451790386143,72.8771563420504,Republican
AR,Arkansas,02,AR02,Marcus A. Jones,French Hill,125777.0,180509.0,41.06521355856944,58.93478644143055,Republican
AR,Arkansas,03,AR03,Caitlin Draper,Steve Womack,95652.0,192101.0,31.769207264417904,63.80312470938343,Republican
AR,Arkansas,04,AR04,Risie Howard,Bruce Westerman,73207.0,197046.0,27.088320943708304,72.9116790562917,Republican
CA,California,01,CA01,Rose Penelope Yee,Doug LaMalfa,110636.0,208592.0,34.65736088313055,65.34263911686945,Republican
CA,California,10,CA10,Mark DeSaulnier,Katherine Piccinini,242325.0,122219.0,66.47345725070225,33.526542749297754,Democrat
CA,California,11,CA11,Nancy Pelosi,Bruce Lou,274796.0,64315.0,81.03423362851692,18.965766371483085,Democrat
CA,California,12,CA12,Lateefah Simon,None,185176.0,0.0,65.42743573889233,0.0,Democrat
CA,California,13,CA13,Adam Gray,John Duarte,105554.0,105367.0,50.04432939346959,49.9556706065304,Democrat
CA,California,14,CA14,Eric Swalwell,Vin Kruttiventi,187263.0,89125.0,67.75366513741552,32.24633486258448,Democrat
CA,California,15,CA15,Kevin Mullin,Anna Cheng Kramer,211648.0,77896.0,73.09700770867295,26.902992291327056,Democrat
CA,California,16,CA16,Sam Liccardo,None,179583.0,0.0,58.21619834282083,0.0,Democrat
CA,California,17,CA17,Ro Khanna,Anita Chen,172462.0,82415.0,67.66479517571221,32.33520482428779,Democrat
CA,California,18,CA18,Zoe Lofgren,Peter D. Hernandez,147674.0,80832.0,64.6258741564773,35.374125843522705,Democrat
CA,California,19,CA19,Jimmy Panetta,Jason Michael Anderson,252458.0,111862.0,69.29567413263065,30.70432586736935,Democrat
