state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,Burton R. LeFlore,Bradley Byrne,48278.0,103758.0,31.71302074438036,68.15691632618206,Republican
AL,Alabama,02,AL02,Erick Wright,Martha Roby,54692.0,113103.0,32.56406592359722,67.34245498713918,Republican
AL,Alabama,03,AL03,Jesse T. Smith,Mike Rogers,52816.0,103558.0,33.72238539139318,66.12054654577959,Republican
AL,Alabama,04,AL04,None,Robert B. Aderholt,0.0,132831.0,0.0,98.57441819045356,Republican
AL,Alabama,05,AL05,None,Mo Brooks,0.0,115338.0,0.0,74.42409694529405,Republican
AL,Alabama,06,AL06,Mark Lester,Gary Palmer,42291.0,135945.0,23.69920817712624,76.18142998840005,Republican
AL,Alabama,07,AL07,Terri A. Sewell,None,133687.0,0.0,98.37232062046078,0.0,Democrat
AK,Alaska,01,AK01,Forrest Dunbar,Don Young,114602.0,142572.0,40.96718035611512,50.965714714682505,Republican
AZ,Arizona,01,AZ01,Ann Kirkpatrick,Andrew M. Tobin,97391.0,87723.0,52.61136380824789,47.38863619175211,Democrat
AZ,Arizona,02,AZ02,Ron Barber,Martha McSally,109543.0,109704.0,49.93959453113959,50.012992874434126,Republican
AZ,Arizona,03,AZ03,Raúl Grijalva,Gabriela Saucedo Mercer,58192.0,46185.0,55.72451832841766,44.22664419504348,Democrat
AZ,Arizona,04,AZ04,Mikel Weisser,Paul Gosar,45179.0,122560.0,25.79019174672763,69.9627238424697,Republican
AZ,Arizona,05,AZ05,James Woods,Matt Salmon,54596.0,124867.0,30.42186968901668,69.57813031098333,Republican
AZ,Arizona,06,AZ06,W. John Williamson,David Schweikert,70198.0,129578.0,35.13835495755246,64.86164504244755,Republican
AZ,Arizona,07,AZ07,Ruben Gallego,None,54235.0,0.0,74.85439037182212,0.0,Democrat
AZ,Arizona,08,AZ08,None,Trent Franks,0.0,128710.0,0.0,75.81165771369334,Republican
AZ,Arizona,09,AZ09,Kyrsten Sinema,Wendy J. Rogers,88609.0,67841.0,54.675988202046135,41.86113956387062,Democrat
AR,Arkansas,01,AR01,Jackie McPherson,Rick Crawford,63555.0,124139.0,32.383723300179355,63.2536075330181,Republican
AR,Arkansas,02,AR02,Patrick Henry Hays,French Hill,103477.0,123073.0,43.6004719167404,51.85732945687439,Republican
AR,Arkansas,03,AR03,None,Steve Womack,0.0,151630.0,0.0,79.41446041846702,Republican
AR,Arkansas,04,AR04,James Lee Witt,Bruce Westerman,87742.0,110789.0,42.56613512766154,53.74688911420408,Republican
CA,California,01,CA01,Heidi Hall,Doug LaMalfa,84320.0,132052.0,38.96992217107574,61.030077828924256,Republican
CA,California,10,CA10,Michael Eggman,Jeff Denham,55123.0,70582.0,43.85107990931149,56.14892009068851,Republican
CA,California,11,CA11,Mark DeSaulnier,Tue Phan,117502.0,57160.0,67.27393479978473,32.726065200215274,Democrat
CA,California,12,CA12,Nancy Pelosi,John Dennis,160067.0,32197.0,83.25375525319353,16.746244746806475,Democrat
CA,California,13,CA13,Barbara Lee,Dakin Sundeen,168491.0,21940.0,88.47876658737286,11.521233412627144,Democrat
CA,California,14,CA14,Jackie Speier,Robin Chew,114389.0,34757.0,76.69598916497928,23.30401083502072,Democrat
CA,California,15,CA15,Eric Swalwell,Hugh Bussell,99756.0,43150.0,69.80532657831023,30.19467342168978,Democrat
CA,California,16,CA16,Jim Costa,Johnny Martin Tacherra,46277.0,44943.0,50.731199298399474,49.268800701600526,Democrat
CA,California,17,CA17,Michael M. Honda,None,69561.0,0.0,51.75361585619903,0.0,Democrat
CA,California,18,CA18,Anna G. Eshoo,Richard B. Fox,133060.0,63326.0,67.75432057274958,32.245679427250415,Democrat
CA,California,19,CA19,Zoe Lofgren,None,85888.0,0.0,67.21131874667418,0.0,Democrat
CA,California,02,CA02,Jared Huffman,Dale Mensing,163124.0,54400.0,74.99126533164157,25.00873466835844,Democrat
CA,California,20,CA20,Sam Farr,None,106034.0,0.0,75.17795865120105,0.0,Democrat
CA,California,21,CA21,Amanda Renteria,David G. Valadao,33470.0,45907.0,42.16586668682364,57.83413331317636,Republican
CA,California,22,CA22,Suzanna Aguilera-Marrero,Devin Nunes,37289.0,96053.0,27.96493227940184,72.03506772059815,Republican
CA,California,23,CA23,Raul Garcia,Kevin McCarthy,33726.0,100317.0,25.16058279805734,74.83941720194267,Republican
CA,California,24,CA24,Lois Capps,Chris Mitchum,103228.0,95566.0,51.92712053683712,48.07287946316287,Democrat
CA,California,25,CA25,None,Stephen Knight,0.0,60847.0,0.0,53.340872431446805,Republican
CA,California,26,CA26,Julia Brownley,Jeff Gorell,87176.0,82653.0,51.33163358437016,48.66836641562984,Democrat
CA,California,27,CA27,Judy Chu,Jack Orswell,75728.0,51852.0,59.357266029158176,40.642733970841824,Democrat
CA,California,28,CA28,Adam B. Schiff,None,91996.0,0.0,76.4950442360141,0.0,Democrat
CA,California,29,CA29,Tony Cardenas,William O'Callaghan Leader,50096.0,17045.0,74.6131275971463,25.38687240285369,Democrat
CA,California,03,CA03,John Garamendi,Dan Logue,79224.0,71036.0,52.724610674830295,47.275389325169705,Democrat
CA,California,30,CA30,Brad Sherman,Mark Reed,86568.0,45315.0,65.63999909010259,34.36000090989741,Democrat
CA,California,31,CA31,Pete Aguilar,Paul Chabot,51622.0,48162.0,51.73374488896015,48.26625511103985,Democrat
CA,California,32,CA32,Grace F. Napolitano,Arturo Enrique Alas,50353.0,34053.0,59.65571167926451,40.34428832073549,Democrat
CA,California,33,CA33,Ted W. Lieu,Elan Carr,108331.0,74700.0,59.18724150553732,40.812758494462685,Democrat
CA,California,34,CA34,Xavier Becerra,None,44697.0,0.0,72.53533697927654,0.0,Democrat
CA,California,35,CA35,Christina Gagnier,None,22753.0,0.0,36.54806842823869,0.0,Democrat
CA,California,36,CA36,Raul Ruiz,Brian Nestande,72682.0,61457.0,54.18409262034159,45.81590737965841,Democrat
CA,California,37,CA37,Karen Bass,R. Adam King,96787.0,18051.0,84.281335446455,15.718664553544995,Democrat
CA,California,38,CA38,Linda T. Sánchez,Benjamin Campos,58192.0,40288.0,59.090170593013816,40.90982940698619,Democrat
CA,California,39,CA39,Peter O. Anderson,Edward R. Royce,41906.0,91319.0,31.455057234002627,68.54494276599738,Republican
CA,California,04,CA04,None,Tom McClintock,0.0,126784.0,0.0,60.04906836416684,Republican
CA,California,40,CA40,Lucille Roybal-Allard,None,30208.0,0.0,61.17580347921181,0.0,Democrat
CA,California,41,CA41,Mark Takano,Steve Adams,46948.0,35936.0,56.64301915930699,43.35698084069301,Democrat
CA,California,42,CA42,Tim Sheridan,Ken Calvert,38850.0,74540.0,34.26228062439369,65.73771937560632,Republican
CA,California,43,CA43,Maxine Waters,John Randolph Wood,69681.0,28521.0,70.95680332376124,29.04319667623877,Democrat
CA,California,44,CA44,Janice Hahn,None,59670.0,0.0,86.65156399756034,0.0,Democrat
CA,California,45,CA45,Drew E. Leavens,Mimi Walters,56819.0,106083.0,34.87925255675191,65.12074744324808,Republican
CA,California,46,CA46,Loretta Sanchez,Adam Nick,49738.0,33577.0,59.69873372141872,40.30126627858129,Democrat
CA,California,47,CA47,Alan Lowenthal,Andrew Whallon,69091.0,54309.0,55.989465153970826,44.01053484602917,Democrat
CA,California,48,CA48,Suzanne Joyce Savary,Dana Rohrabacher,62713.0,112082.0,35.87802854772734,64.12197145227266,Republican
CA,California,49,CA49,Dave Peiser,Darrell E. Issa,64981.0,98161.0,39.83094482107612,60.16905517892389,Republican
CA,California,05,CA05,Mike Thompson,None,129613.0,0.0,75.73153060509034,0.0,Democrat
CA,California,50,CA50,James H. Kimber,Duncan Hunter,45302.0,111997.0,28.7999287980216,71.2000712019784,Republican
CA,California,51,CA51,Juan Vargas,Stephen Meade,56373.0,25577.0,68.78950579621721,31.2104942037828,Democrat
CA,California,52,CA52,Scott Peters,Carl DeMaio,98826.0,92746.0,51.58687073267492,48.41312926732508,Democrat
CA,California,53,CA53,Susan A. Davis,Larry A. Wilske,87104.0,60940.0,58.83656210315852,41.16343789684148,Democrat
CA,California,06,CA06,Doris Matsui,Joseph McCray,97008.0,36448.0,72.68912600407626,27.31087399592375,Democrat
