state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,Robert Kennedy (AL),Bradley Byrne,89226.0,153228.0,36.77648309887601,63.15633282086581,Republican
AL,Alabama,02,AL02,Tabitha Isner,Martha Roby,86931.0,138879.0,38.425938204482165,61.3884100251956,Republican
AL,Alabama,03,AL03,Mallory Hagan,Mike Rogers,83996.0,147770.0,36.218442101632064,63.717310221417335,Republican
AL,Alabama,04,AL04,Lee Auman,Robert B. Aderholt,46492.0,184255.0,20.129108235304304,79.77477496980114,Republican
AL,Alabama,05,AL05,Peter Joffrion,Mo Brooks,101388.0,159063.0,38.894707161846455,61.02012866695055,Republican
AL,Alabama,06,AL06,Danner Kline,Gary Palmer,85644.0,192542.0,30.770889023023194,69.17809203529649,Republican
AL,Alabama,07,AL07,Terri A. Sewell,None,185010.0,0.0,97.80453894260506,0.0,Democrat
AK,Alaska,01,AK01,Alyse S. Galvin,Don Young,131199.0,149779.0,46.49709745327218,53.08187379060553,Republican
AZ,Arizona,01,AZ01,Tom O'Halleran,Wendy J. Rogers,143240.0,122784.0,53.83161273107871,46.14395935194615,Democrat
AZ,Arizona,02,AZ02,Ann Kirkpatrick,Lea Marquez Peterson,161000.0,133083.0,54.73360711468901,45.24293562511899,Democrat
AZ,Arizona,03,AZ03,Raúl Grijalva,Nicolas Pierson,114650.0,64868.0,63.86546195924643,36.13453804075357,Democrat
AZ,Arizona,04,AZ04,David Brill,Paul Gosar,84521.0,188842.0,30.50914144422185,68.16539426426263,Republican
AZ,Arizona,05,AZ05,Joan Greene,Andy Biggs,127027.0,186037.0,40.57540950093272,59.424590499067286,Republican
AZ,Arizona,06,AZ06,Anita Malik,David Schweikert,140559.0,173140.0,44.80696463807663,55.19303536192337,Republican
AZ,Arizona,07,AZ07,Ruben Gallego,None,113044.0,0.0,85.60631877077796,0.0,Democrat
AZ,Arizona,08,AZ08,Hiral Tipirneni,Debbie Lesko,135569.0,168835.0,44.533978062985966,55.46175147905669,Republican
AZ,Arizona,09,AZ09,Greg Stanton,Steve Ferrara,159583.0,101662.0,61.08557101571323,38.91442898428678,Democrat
AR,Arkansas,01,AR01,Chintan Desai,Rick Crawford,57907.0,138757.0,28.77437948768913,68.9492906656066,Republican
AR,Arkansas,02,AR02,Clarke Tucker,French Hill,116135.0,132125.0,45.82111870839958,52.12998070648207,Republican
AR,Arkansas,03,AR03,Josh Mahony,Steve Womack,74952.0,148717.0,32.64914970727627,64.78124128798439,Republican
AR,Arkansas,04,AR04,Hayden Shamel,Bruce Westerman,63984.0,136740.0,31.22815922534799,66.73759834449369,Republican
CA,California,01,CA01,Audrey Denney,Doug LaMalfa,131548.0,160046.0,45.11341111271151,54.88658888728849,Republican
CA,California,10,CA10,Josh Harder,Jeff Denham,115945.0,105955.0,52.25101397025688,47.74898602974313,Democrat
CA,California,11,CA11,Mark DeSaulnier,John Fitzgerald,204369.0,71312.0,74.1324211679441,25.86757883205589,Democrat
CA,California,12,CA12,Nancy Pelosi,Lisa Remmer,275292.0,41780.0,86.82318211636473,13.176817883635264,Democrat
CA,California,13,CA13,Barbara Lee,None,260580.0,0.0,88.38103765809583,0.0,Democrat
CA,California,14,CA14,Jackie Speier,Cristina Osmena,211384.0,55439.0,79.22255577667593,20.777444223324075,Democrat
CA,California,15,CA15,Eric Swalwell,Rudy Peters,177989.0,65940.0,72.96754383447642,27.032456165523573,Democrat
CA,California,16,CA16,Jim Costa,Elizabeth Heng,82266.0,60693.0,57.54517029358068,42.454829706419325,Democrat
CA,California,17,CA17,Ro Khanna,Ron Cohen,159105.0,52057.0,75.34736363550259,24.6526363644974,Democrat
CA,California,18,CA18,Anna G. Eshoo,Christine Russell,225142.0,77096.0,74.49162580482931,25.50837419517069,Democrat
CA,California,19,CA19,Zoe Lofgren,Justin Aguilera,162496.0,57823.0,73.75487361507632,26.24512638492368,Democrat
CA,California,02,CA02,Jared Huffman,Dale Mensing,243081.0,72576.0,77.00795483705414,22.992045162945857,Democrat
CA,California,20,CA20,Jimmy Panetta,None,183677.0,0.0,81.37346547286252,0.0,Democrat
CA,California,21,CA21,TJ Cox,David G. Valadao,57239.0,56377.0,50.37934797915786,49.62065202084214,Democrat
CA,California,22,CA22,Andrew Janz,Devin Nunes,105136.0,117243.0,47.27784548001385,52.72215451998616,Republican
CA,California,23,CA23,Tatiana Matta,Kevin McCarthy,74661.0,131113.0,36.28300951529348,63.71699048470653,Republican
CA,California,24,CA24,Salud Carbajal,Justin Donald Fareed,166550.0,117881.0,58.55550203740098,41.444497962599016,Democrat
CA,California,25,CA25,Katie Hill,Stephen Knight,133209.0,111813.0,54.366138550824,45.633861449176,Democrat
CA,California,26,CA26,Julia Brownley,Antonio Sabato,158216.0,97210.0,61.94201060189644,38.05798939810356,Democrat
CA,California,27,CA27,Bryan Witt,None,42132.0,0.0,20.791961941609586,0.0,Democrat
CA,California,28,CA28,Adam B. Schiff,Johnny Nalbandian,196662.0,54272.0,78.37200219978162,21.627997800218385,Democrat
CA,California,29,CA29,Tony Cardenas,Benito Benny Bernal,124697.0,29995.0,80.60985700618002,19.39014299381998,Democrat
