state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,Judy McCain Belk,Josiah Robins Bonner,93938.0,161067.0,36.81475443244345,63.12293270210532,Republican
AL,Alabama,02,AL02,Charles D James,Terry Everett,70562.0,177086.0,28.45850121195255,71.42090850060698,Republican
AL,Alabama,03,AL03,William Fuller,Mike Rogers,95240.0,150411.0,38.74947108029815,61.1964163655893,Republican
AL,Alabama,04,AL04,Carl A Cole,Robert B. Aderholt,64278.0,191110.0,25.13569316919804,74.73291517417215,Republican
AL,Alabama,05,AL05,Robert E. Cramer,Gerald C. Wallace,200999.0,74145.0,72.96875397064537,26.916891443009668,Democrat
AL,Alabama,06,AL06,None,Spencer Bachus,0.0,264819.0,0.0,98.79720791067103,Republican
AL,Alabama,07,AL07,Artur Davis,Steve F. Cameron,183408.0,61019.0,74.97118190959704,24.942568202813952,Democrat
AK,Alaska,01,AK01,Thomas M. Higgins,Don Young,67074.0,213216.0,22.358298110641478,71.07294763930186,Republican
AZ,Arizona,01,AZ01,Paul Babbitt,Richard Renzi,91776.0,148315.0,36.2248422149508,58.541312250593045,Republican
AZ,Arizona,02,AZ02,Randy R. Camacho,Trent Franks,107406.0,165260.0,38.45501122436924,59.1687164119254,Republican
AZ,Arizona,03,AZ03,None,John B. Shadegg,0.0,181012.0,0.0,80.10302070149663,Republican
AZ,Arizona,04,AZ04,Ed Pastor,Don J. Karg,77150.0,28238.0,70.11915257164151,25.66460959582648,Democrat
AZ,Arizona,05,AZ05,Elizabeth Rogers,J.D. Hayworth,102363.0,159455.0,38.19415164529285,59.49658031320077,Republican
AZ,Arizona,06,AZ06,None,Jeff Flake,0.0,202882.0,0.0,79.38194751483897,Republican
AZ,Arizona,07,AZ07,Raúl Grijalva,Joseph Dudley Sweeney,108868.0,59066.0,62.05532470345481,33.66792637813004,Democrat
