state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
CA,California,39,CA39,Linda T. Sánchez,James L. Andion,72149.0,37384.0,65.86964659052524,34.13035340947477,Democrat
CA,California,04,CA04,Charles Duane Brown,John T. Doolittle,126999.0,135818.0,45.86573152806319,49.05071634169156,Republican
CA,California,40,CA40,Florice Orea Hoffman,Edward R. Royce,46418.0,100995.0,30.681675468804738,66.75634051385097,Republican
CA,California,41,CA41,Louie A. Contreras,Jerry Lewis,54235.0,109761.0,33.061251859257275,66.90948769842238,Republican
CA,California,42,CA42,None,Gary G. Miller,0.0,129720.0,0.0,100.0,Republican
CA,California,43,CA43,Joe Baca,Scott L. Folkens,52791.0,29069.0,64.4893720987051,35.510627901294896,Democrat
CA,California,44,CA44,Louis Vandenberg,Ken Calvert,55275.0,89555.0,37.01880575423933,59.976827667497126,Republican
CA,California,45,CA45,David Roth,Mary Whitaker Bono Mack,64613.0,99638.0,39.3379644568374,60.6620355431626,Republican
CA,California,46,CA46,Jim D. Brandt,Dana Rohrabacher,71573.0,116176.0,36.694317412792486,59.56155281668478,Republican
CA,California,47,CA47,Loretta Sanchez,Tan D. Nguyen,47134.0,28485.0,62.33089567436755,37.669104325632446,Democrat
CA,California,48,CA48,Steve R. Young,John Campbell,74647.0,120130.0,37.225411041904586,59.90714467378457,Republican
CA,California,49,CA49,Jeeni Criscenzo,Darrell E. Issa,52227.0,98831.0,33.44947065717927,63.29761683649616,Republican
CA,California,05,CA05,Doris Matsui,Xiaochin Claire Yan,105676.0,35106.0,70.79710047834068,23.519086731070708,Democrat
CA,California,50,CA50,Francine P. Busby,Brian P. Bilbray,96612.0,118018.0,43.498932922711184,53.13684703424553,Republican
CA,California,51,CA51,Bob Filner,Blake Linden Miles,78114.0,34931.0,67.43324786988838,30.154783794749605,Democrat
CA,California,52,CA52,John Rinaldi,Duncan Hunter,61208.0,123696.0,31.984281675715504,64.63742821460112,Republican
CA,California,53,CA53,Susan A. Davis,John Woodrum,97541.0,43312.0,67.55525081897954,29.997160409178115,Democrat
CA,California,06,CA06,Lynn C. Woolsey,Todd Lewis Hooper,173190.0,64405.0,70.22317011855912,26.114228716934008,Democrat
CA,California,07,CA07,George Miller,None,118000.0,0.0,83.99413464686873,0.0,Democrat
CA,California,08,CA08,Nancy Pelosi,Mike A. DeNunzio,148435.0,19800.0,80.3920081889525,10.72362826921723,Democrat
CA,California,09,CA09,Barbara Lee,John den Dulk,167245.0,20786.0,86.3485228669083,10.731803021385128,Democrat
CO,Colorado,01,CO01,Diana DeGette,None,129446.0,0.0,79.77149336603583,0.0,Democrat
CO,Colorado,02,CO02,Mark Udall,Rich Mancuso,157850.0,65481.0,68.24263857124947,28.309130290047424,Democrat
CO,Colorado,03,CO03,John T. Salazar,Scott Tipton,146488.0,86930.0,61.58632461384524,36.547015446190585,Democrat
CO,Colorado,04,CO04,Angie Paccione,Marilyn N. Musgrave,103748.0,109732.0,43.11820225839834,45.605183427329365,Republican
CO,Colorado,05,CO05,Jay Fawcett,Doug Lamborn,83431.0,123264.0,40.35239606105748,59.618100562982455,Republican
CO,Colorado,06,CO06,Bill Winter,Tom Tancredo,108007.0,158806.0,39.865131712502446,58.6149240950648,Republican
CO,Colorado,07,CO07,Ed Perlmutter,Rick O'Donnell,103918.0,79571.0,54.93307677669,42.06277884676379,Democrat
CT,Connecticut,01,CT01,John B. Larson,Scott MacLean,154539.0,53010.0,74.44362017804154,25.53566611430113,Democrat
CT,Connecticut,02,CT02,Joe Courtney,Robert R. Simmons,121248.0,121165.0,50.01711954391885,49.98288045608116,Democrat
CT,Connecticut,03,CT03,Rosa L. DeLauro,Joseph Vollano,150436.0,44386.0,76.01194476305005,22.42725265397073,Democrat
