state_code,state,office_seat_name,special,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AK,Alaska,Class III,False,Ray Metcalfe,Lisa Murkowski,36200.0,138149.0,11.623389341801497,44.35800039172749,Republican
AL,Alabama,Class III,False,Ronald Steven Crumpton,Richard C. Shelby,748709.0,1335104.0,35.86726158881388,63.9587936251224,Republican
AR,Arkansas,Class III,False,Conner W. Eldridge,John Boozman,400602.0,661984.0,36.17101962760108,59.771634333223176,Republican
AZ,Arizona,Class III,False,Ann Kirkpatrick,John McCain,1031245.0,1359267.0,40.74891434487282,53.710470891798025,Republican
CA,California,Class III,False,Loretta Sanchez,None,4701417.0,0.0,38.39716939710765,0.0,Democrat
CO,Colorado,Class III,False,Michael Bennet,Darryl Glenn,1370710.0,1215318.0,49.97078041270525,44.30578963428305,Democrat
CT,Connecticut,Class III,False,Richard Blumenthal,Dan Carter,920766.0,552621.0,57.68213015794261,34.61938912819588,Democrat
FL,Florida,Class III,False,Patrick Murphy,Marco Rubio,4122088.0,4835191.0,44.31485451234274,51.98112842432986,Republican
GA,Georgia,Class III,False,Jim Barksdale,Johnny Isakson,1599726.0,2135806.0,41.03329267776551,54.78385217276436,Republican
HI,Hawaii,Class III,False,Brian Schatz,John Stanley Carroll,306604.0,92653.0,73.60344918643563,22.242307267585616,Democrat
IA,Iowa,Class III,False,Patty Judge,Chuck Grassley,549460.0,926007.0,35.6552345305366,60.08990056040222,Republican
ID,Idaho,Class III,False,Jerry Sturgill,Mike Crapo,188249.0,449017.0,27.72677529630617,66.13471233962203,Republican
IL,Illinois,Class III,False,Tammy Duckworth,Mark Kirk,3012940.0,2184692.0,54.86174310499978,39.78041755479637,Democrat
IN,Indiana,Class III,False,Evan Bayh,Todd Young,1158947.0,1423991.0,42.41271693138926,52.11224257523936,Republican
KS,Kansas,Class III,False,Patrick Wiesner,Jerry Moran,379740.0,732376.0,32.23812782170636,62.175254388660704,Republican
KY,Kentucky,Class III,False,Jim Gray,Rand Paul,813246.0,1090177.0,42.72450504737413,57.27328845027358,Republican
LA,Louisiana,Class III,False,Foster L. Campbell,John Kennedy,347816.0,536191.0,39.345389798949554,60.65461020105044,Republican
MD,Maryland,Class III,False,Chris Van Hollen,Kathy Szeliga,1659907.0,972557.0,60.88787566439363,35.674847863486136,Democrat
MO,Missouri,Class III,False,Jason Kander,Roy Blunt,1300200.0,1378458.0,46.391956729384894,49.18425156843135,Republican
NC,North Carolina,Class III,False,Deborah K. Ross,Richard Burr,2128165.0,2395376.0,45.36569310654804,51.06177974489319,Republican
ND,North Dakota,Class III,False,Eliot Glassheim,John Hoeven,58116.0,268788.0,16.96812564050908,78.47801904228017,Republican
NH,New Hampshire,Class III,False,Maggie Hassan,Kelly Ayotte,354649.0,353632.0,47.9813025949076,47.84371025786725,Democrat
NV,Nevada,Class III,False,Catherine Cortez Masto,Joseph J. Heck,521994.0,495079.0,47.09887448637275,44.67036724912343,Democrat
NY,New York,Class III,False,Charles E. Schumer,Wendy E. Long,4784220.0,1723927.0,65.61765538489898,23.64440761393137,Democrat
OH,Ohio,Class III,False,Ted Strickland,Rob Portman,1996913.0,3118568.0,37.157607593358605,58.02883049847697,Republican
OK,Oklahoma,Class III,False,Mike Workman,James Lankford,355911.0,980892.0,24.578691161267557,67.7389615116084,Republican
OR,Oregon,Class III,False,Ron Wyden,Mark Callahan,1105119.0,651106.0,56.60084262153018,33.347674083907734,Democrat
PA,Pennsylvania,Class III,False,Kathleen Alana McGinty,Patrick J. Toomey,2865012.0,2951702.0,47.341047110175786,48.773500228690175,Republican
SC,South Carolina,Class III,False,Thomas Dixon,Tim Scott,704540.0,1241609.0,34.36959880344974,60.56945411297077,Republican
SD,South Dakota,Class III,False,Jay H. Williams,John R. Thune,104140.0,265516.0,28.172138420585625,71.82786157941437,Republican
UT,Utah,Class III,False,Misty Katherine Snow,Mike Lee,301860.0,760241.0,27.057891302321245,68.14588995417745,Republican
VT,Vermont,Class III,False,Patrick J. Leahy,Scott Milne,192243.0,103637.0,61.26114929782128,33.02550277398035,Democrat
WA,Washington,Class III,False,Patty Murray,Chris Vance,1913979.0,1329338.0,59.01301044578745,40.98698955421256,Democrat
WI,Wisconsin,Class III,False,Russ Feingold,Ron Johnson,1380335.0,1479471.0,46.810994929700506,50.17297212607007,Republican
