state_code,state,seat_class,special,candidate_name,party_code,party_name,ranked_choice_round,votes,percent,winner
AZ,Arizona,Class I,False,Ruben Gallego,DEM,Democratic,None,1676335.0,50.05757262123248,True
AZ,Arizona,Class I,False,Kari Lake,REP,Republican,None,1595761.0,47.65152677933143,False
AZ,Arizona,Class I,False,Eduardo Quintana,GRE,Green,None,75868.0,2.265518479079459,False
AZ,Arizona,Class I,False,Sarah Williams,W,Write-In,None,535.0,0.0159758051656496,False
AZ,Arizona,Class I,False,Christopher Beckett,W,Write-In,None,103.0,0.0030757157608633,False
AZ,Arizona,Class I,False,Steven Cavin Sanders,W,Write-In,None,92.0,0.0027472412621304,False
AZ,Arizona,Class I,False,Jannie Prosser,W,Write-In,None,82.0,0.002448628081464,False
AZ,Arizona,Class I,False,Shawn Petty,W,Write-In,None,24.0,0.0007166716335992,False
AZ,Arizona,Class I,False,David Bozic,W,Write-In,None,12.0,0.0003583358167996,False
AZ,Arizona,Class I,False,Benjamin Rodriguez,W,Write-In,None,2.0,5.972263613326986e-05,False
CA,California,Class I,False,Adam B. Schiff,DEM,Democratic,None,9036252.0,58.872517191194696,True
CA,California,Class I,True,Adam B. Schiff,DEM,Democratic,None,8837051.0,58.750394237668,True
CA,California,Class I,True,Steve Garvey,REP,Republican,None,6204637.0,41.249605762332,False
CA,California,Class I,False,Steve Garvey,REP,Republican,None,6312594.0,41.1274828088053,False
CT,Connecticut,Class I,False,Christopher S. Murphy,DEM,Democratic,None,953646.0,55.82560958262184,True
CT,Connecticut,Class I,False,Matthew M. Corey,REP,Republican,None,678256.0,39.70451787463142,False
CT,Connecticut,Class I,False,Christopher S. Murphy,WFP,Working Families,None,47049.0,2.7542076464985694,True
CT,Connecticut,Class I,False,Robert Finley Hyde,OTH,Other,None,14879.0,0.8710037529437865,False
CT,Connecticut,Class I,False,Justin Paglino,GRE,Green,None,14422.0,0.8442513693766578,False
CT,Connecticut,Class I,False,John Flynn,W,Write-In,None,7.0,0.000409773927724,False
DE,Delaware,Class I,False,Lisa Blunt Rochester,DEM,Democratic,None,283298.0,56.591011693827085,True
DE,Delaware,Class I,False,Eric Hansen,REP,Republican,None,197753.0,39.502722700087496,False
DE,Delaware,Class I,False,"Michael ""Dr. Mike"" Katz",IDE,Independent Democrat,None,19555.0,3.906265606085425,False
FL,Florida,Class I,False,Rick Scott,REP,Republican,None,5977706.0,55.56817112789414,True
FL,Florida,Class I,False,Debbie Mucarsel-Powell,DEM,Democratic,None,4603077.0,42.789754205187336,False
FL,Florida,Class I,False,Ben Everidge,NPA,No Party Affiliation,None,62683.0,0.5826950456930783,False
FL,Florida,Class I,False,Feena Bonoan,LIB,Libertarian,None,57363.0,0.5332408453024273,False
FL,Florida,Class I,False,Tuan T.Q. Nguyen,NPA,No Party Affiliation,None,56586.0,0.52601792919274,False
FL,Florida,Class I,False,Howard Knepper,W,Write-In,None,13.0,0.0001208467302779,False
HI,Hawaii,Class I,False,Mazie K. Hirono,DEM,Democratic,None,324194.0,64.61098167860125,True
HI,Hawaii,Class I,False,Bob McDermott,REP,Republican,None,160075.0,31.902511743592093,False
HI,Hawaii,Class I,False,None,W,Write-In,None,20473.0,4.080213168368333,False
HI,Hawaii,Class I,False,Shelby Billionaire,WTP,We The People,None,9224.0,1.8383180904132037,False
HI,Hawaii,Class I,False,Emma Jane Avila Pohlman,GRE,Green,None,8270.0,1.6481884873934507,False
IN,Indiana,Class I,False,Jim Banks,REP,Republican,None,1659416.0,58.63874197541465,True
IN,Indiana,Class I,False,Valerie McCray,DEM,Democratic,None,1097061.0,38.76681730819178,False
IN,Indiana,Class I,False,Andrew Horning,LIB,Libertarian,None,73233.0,2.587832702038272,False
