state_code,state,seat_class,special,candidate_name,party_code,party_name,ranked_choice_round,votes,percent,winner
AK,Alaska,Class II,False,Mark Begich,DEM,Democratic,None,151767.0,47.767080129546805,True
AK,Alaska,Class II,False,Ted Stevens,REP,Republican,None,147814.0,46.5229146143024,False
AK,Alaska,Class II,False,Robert Bird,AKI,Alaskan Independence,None,13197.0,4.153618088712495,False
AK,Alaska,Class II,False,Fredrick David Haase,LIB,Libertarian,None,2483.0,0.781498349190962,False
AK,Alaska,Class II,False,Ted Gianoutsos,NPA,No Party Affiliation,None,1385.0,0.4359143027102224,False
AK,Alaska,Class II,False,None,W,Write-In,None,1077.0,0.3389745155371188,False
AL,Alabama,Class II,False,Jeff Sessions,REP,Republican,None,1305383.0,63.36223194839702,True
AL,Alabama,Class II,False,Vivian Davis Figures,DEM,Democratic,None,752391.0,36.52044883217139,False
AL,Alabama,Class II,False,None,W,Write-In,None,2417.0,0.1173192194315963,False
AR,Arkansas,Class II,False,Mark L. Pryor,DEM,Democratic,None,804678.0,79.53296947677005,True
AR,Arkansas,Class II,False,Rebekah J. Kennedy,GRE,Green,None,207076.0,20.467030523229955,False
CO,Colorado,Class II,False,Mark Udall,DEM,Democratic,None,1230994.0,52.795630164593646,True
CO,Colorado,Class II,False,Bob Schaffer,REP,Republican,None,990755.0,42.49211171112287,False
CO,Colorado,Class II,False,Douglas Campbell,ACP,American Constitution,None,59733.0,2.561865757771096,False
CO,Colorado,Class II,False,Robert A. Kinsey,GRE,Green,None,50004.0,2.144602403220764,False
CO,Colorado,Class II,False,Buddy Moore,W,Write-In,None,116.0,0.0049750795691066,False
CO,Colorado,Class II,False,Gary Cooper,W,Write-In,None,10.0,0.0004288861697505,False
CO,Colorado,Class II,False,Bruce Edward Lohmiller,W,Write-In,None,9.0,0.0003859975527755,False
DE,Delaware,Class II,False,Joe Biden,DEM,Democratic,None,257539.0,64.68651258119125,True
DE,Delaware,Class II,False,Christine O'Donnell,REP,Republican,None,140595.0,35.31348741880874,False
GA,Georgia,Class II,False,Saxby Chambliss,REP,Republican,None,3095130.0,107.19586398383754,True
GA,Georgia,Class II,False,Jim Martin,DEM,Democratic,None,2667316.0,89.39319633219304,False
GA,Georgia,Class II,False,Allen Buckley,LIB,Libertarian,None,127923.0,3.409020955446857,False
GA,Georgia,Class II,False,Eleanor Garcia,W,Write-In,None,43.0,0.0011459073120878,False
GA,Georgia,Class II,False,William Salamone,W,Write-In,None,29.0,0.0007728212104778,False
IA,Iowa,Class II,False,Tom Harkin,DEM,Democratic,None,941665.0,62.65578028874496,True
IA,Iowa,Class II,False,Christopher Reed,REP,Republican,None,560006.0,37.26124778597368,False
IA,Iowa,Class II,False,None,W,Write-In,None,1247.0,0.0829719252813526,False
ID,Idaho,Class II,False,James E. Risch,REP,Republican,None,371744.0,57.6543937467043,True
ID,Idaho,Class II,False,Larry LaRocco,DEM,Democratic,None,219903.0,34.105121126585814,False
ID,Idaho,Class II,False,Rex Rammell,IND,Independent,None,34510.0,5.352213157976364,False
ID,Idaho,Class II,False,Kent A. Marmon,LIB,Libertarian,None,9958.0,1.5444027420205342,False
ID,Idaho,Class II,False,Marvin Richardson,IND,Independent,None,8662.0,1.3434039517354757,False
ID,Idaho,Class II,False,Kevin Volkmann,W,Write-In,None,3.0,0.0004652749775117,False
IL,Illinois,Class II,False,Richard J. Durbin,DEM,Democratic,None,3615844.0,67.84095113514665,True
IL,Illinois,Class II,False,Steve Sauerberg,REP,Republican,None,1520621.0,28.5300955893224,False
IL,Illinois,Class II,False,Kathleen J. Cummings,GRE,Green,None,119135.0,2.235226882986572,False
IL,Illinois,Class II,False,Larry A. Stafford,LIB,Libertarian,None,50224.0,0.9423094386294336,False
IL,Illinois,Class II,False,Chad Koppie,CON,Constitution,None,24059.0,0.4513981917805341,False
IL,Illinois,Class II,False,Patricia Elaine Beard,W,Write-In,None,1.0,1.8762134410429948e-05,False
KS,Kansas,Class II,False,Pat Roberts,REP,Republican,None,727121.0,60.05839645161024,True
KS,Kansas,Class II,False,Jim Slattery,DEM,Democratic,None,441399.0,36.45846583353294,False
KS,Kansas,Class II,False,Randall L. Hodgkinson,LIB,Libertarian,None,25727.0,2.1249865779018573,False
KS,Kansas,Class II,False,Joseph L. Martin,REF,Reform,None,16443.0,1.3581511369549597,False
KY,Kentucky,Class II,False,Mitch McConnell,REP,Republican,None,953816.0,52.96561957018493,True
KY,Kentucky,Class II,False,Bruce Lunsford,DEM,Democratic,None,847005.0,47.03438042981507,False
LA,Louisiana,Class II,False,Mary L. Landrieu,DEM,Democratic,None,988298.0,52.10964613033818,True
LA,Louisiana,Class II,False,John Kennedy,REP,Republican,None,867177.0,45.72334114039315,False
LA,Louisiana,Class II,False,Richard M. Fontanesi,LIB,Libertarian,None,18590.0,0.9801884872406772,False
LA,Louisiana,Class II,False,Jay Patel,NPA,No Party Affiliation,None,13729.0,0.7238842249234673,False
LA,Louisiana,Class II,False,Robert Stewart,OTH,Other,None,8780.0,0.4629400171045263,False
MA,Massachusetts,Class II,False,John Kerry,DEM,Democratic,None,1971974.0,63.55066637232738,True
MA,Massachusetts,Class II,False,Jeffrey K. Beatty,REP,Republican,None,926044.0,29.84355437246918,False
MA,Massachusetts,Class II,False,None,W,Write-In,None,111264.0,3.585697044307193,False
MA,Massachusetts,Class II,False,Robert Jospeh Underwood,LIB,Libertarian,None,93713.0,3.020082210896247,False
ME,Maine,Class II,False,Susan M. Collins,REP,Republican,None,444300.0,61.3309774581395,True
ME,Maine,Class II,False,Thomas H. Allen,DEM,Democratic,None,279510.0,38.58343801333462,False
ME,Maine,Class II,False,None,W,Write-In,None,620.0,0.0855845285258755,False
MI,Michigan,Class II,False,Carl Levin,DEM,Democratic,None,3038386.0,62.66496446411556,True
MI,Michigan,Class II,False,Jacob W. Hoogendyk Jr.,REP,Republican,None,1641070.0,33.846125289257564,False
MI,Michigan,Class II,False,Scott Avery Boman,LIB,Libertarian,None,76347.0,1.5746129826631083,False
