state_code,state,office_seat_name,special,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AZ,Arizona,Class I,False,Kyrsten Sinema,Martha McSally,1191100.0,1135200.0,49.9557943017429,47.61129854028926,Democrat
CA,California,Class I,False,Kevin de León,None,5093942.0,0.0,45.8361842552804,0.0,Democrat
CT,Connecticut,Class I,False,Christopher S. Murphy,Matthew M. Corey,787685.0,545717.0,56.79710709238268,39.34967263707421,Democrat
DE,Delaware,Class I,False,Thomas R. Carper,Rob Arlett,217385.0,137127.0,59.9507454371963,37.81707969531668,Democrat
FL,Florida,Class I,False,Bill Nelson,Rick Scott,4089472.0,4099505.0,49.93247256869807,50.05497554641297,Republican
HI,Hawaii,Class I,False,Mazie K. Hirono,Ronald C. Curtis,276316.0,112035.0,71.15109784705074,28.848902152949265,Democrat
IN,Indiana,Class I,False,Joe Donnelly,Mike Braun,1023553.0,1158000.0,44.8422279321728,50.7323997345092,Republican
MA,Massachusetts,Class I,False,Elizabeth Ann Warren,Geoff Diehl,1633371.0,979210.0,60.33678230129031,36.17205190813752,Democrat
MD,Maryland,Class I,False,Benjamin L. Cardin,Tony Campbell,1491614.0,697017.0,64.85591261143473,30.30654957695784,Democrat
ME,Maine,Class I,False,Zak Ringelstein,Eric L. Brakey,66268.0,223502.0,10.445627347657425,35.22995417782535,Republican
MI,Michigan,Class I,False,Debbie Stabenow,John James,2214478.0,1938818.0,52.26189214709184,45.7562898384361,Democrat
MN,Minnesota,Class I,False,Amy Klobuchar,Jim Newberger,1566174.0,940437.0,60.30985656243514,36.21412472433255,Democrat
MN,Minnesota,Class II,True,Tina Smith,Karin Housley,1370540.0,1095777.0,52.9706774019501,42.35122650304017,Democrat
MO,Missouri,Class I,False,Claire McCaskill,Josh Hawley,1112935.0,1254927.0,45.56934089290825,51.38323105905977,Republican
MS,Mississippi,Class I,False,David Baria,Roger F. Wicker,369567.0,547619.0,39.47458649989586,58.492867557131646,Republican
MS,Mississippi,Class II,True,Mike Espy,Cindy Hyde-Smith,420819.0,486769.0,46.36674350035479,53.63325649964521,Republican
MT,Montana,Class I,False,Jon Tester,Matt Rosendale,253876.0,235963.0,50.33387260499936,46.78241181322168,Democrat
ND,North Dakota,Class I,False,Heidi Heitkamp,Kevin Cramer,144376.0,179720.0,44.268377190023855,55.10550748456176,Republican
NE,Nebraska,Class I,False,Jane Raybould,Deb Fischer,269917.0,403151.0,38.62119982886978,57.6850488565325,Republican
NJ,New Jersey,Class I,False,Bob Menendez,Bob Hugin,1711654.0,1357355.0,54.00714982125447,42.82809191906125,Democrat
NM,New Mexico,Class I,False,Martin Heinrich,Mick Rich,376998.0,212813.0,54.0877345009842,30.53218595949568,Democrat
NV,Nevada,Class I,False,Jacky S. Rosen,Dean Heller,490071.0,441202.0,50.41198108898792,45.38498886982426,Democrat
NY,New York,Class I,False,Kirsten E. Gillibrand,Chele Farley,3755489.0,1730439.0,61.98175844521469,28.55970343733635,Democrat
OH,Ohio,Class I,False,Sherrod Brown,Jim Renacci,2355923.0,2053963.0,53.41141418368777,46.56564264238257,Democrat
PA,Pennsylvania,Class I,False,Robert P. Casey Jr.,Lou Barletta,2792437.0,2134848.0,55.74394139018645,42.6168403401605,Democrat
RI,Rhode Island,Class I,False,Sheldon Whitehouse,Bob Flanders,231477.0,144421.0,61.4424347955343,38.33459858044583,Democrat
TN,Tennessee,Class I,False,Phil Bredesen,Marsha Blackburn,985450.0,1227483.0,43.91997290238619,54.70700705072781,Republican
TX,Texas,Class I,False,Beto O'Rourke,Ted Cruz,4045632.0,4260553.0,48.32535502239402,50.8926012837366,Republican
UT,Utah,Class I,False,Jenny Wilson,Mitt Romney,328541.0,665215.0,30.9099564680303,62.58508585497936,Republican
VA,Virginia,Class I,False,Timothy Michael Kaine,Corey Stewart,1910370.0,1374313.0,57.00260758799453,41.00746171792874,Democrat
VT,Vermont,Class I,False,None,Lawrence Zupan,0.0,74815.0,0.0,27.442558248723515,Republican
WA,Washington,Class I,False,Maria Cantwell,Susan Hutchison,1803364.0,1282804.0,58.433759924929554,41.566240075070446,Democrat
WI,Wisconsin,Class I,False,Tammy Baldwin,Leah Vukmir,1472914.0,1184885.0,55.35682809780504,44.53177528400688,Democrat
WV,West Virginia,Class I,False,"Joe Manchin, III",Patrick Morrisey,290510.0,271113.0,49.5722091209725,46.26233290218656,Democrat
WY,Wyoming,Class I,False,Gary Trauner,John Barrasso,61227.0,136210.0,30.09881034313244,66.95998426900009,Republican
